Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1.8107,1.7729,1.6737,1.4526,1.4056,1.3735,1.4093,1.3633,1.0093,0.9402,0.9388,1.0172,0.9024,1.2763,1.4185,2.0642,3.9029,6.1659,7.8684,11.5231,9.8844,8.4287,7.9588,8.4272,7.6117,10.3972,11.8099,12.1046,12.1436,12.4864,11.298,11.6486,12.0684,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.136358426486866,0.118642815594975,0.102991890734693,0.0851174240746249,0.0791295924972356,0.0744360083634966,0.0735542951052808,0.068549614750964,0.0501382814099344,0.0463511028500998,0.0439140640871224,0.0447454276810823,0.038301143932592,0.052297588398106,0.0557935319150409,0.0796685368947688,0.14737589049906,0.224491273806937,0.278191742360873,0.392640542832169,0.323442048526517,0.266539509081829,0.242701667084292,0.24909135686806,0.219353479990497,0.2913283907183,0.321418704642259,0.319752781855278,0.310824605884889,0.312156784785117,0.278420956418618,0.280995468771367,0.2829802981146,..
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3761.15540576541,4145.91969834494,4517.79881384115,5151.39732484423,5563.79315082011,4943.00399871118,5387.56822958918,6086.00863561374,6582.01638790869,7232.99054955267,7590.49000137636,8025.28131314895,8483.29399553028,8964.31799702863,9564.02920336839,10262.9667962049,11056.3517677907,11430.6220336089,11829.0532917923,12153.1140578808,12463.5700560026,12873.4832044649,13366.5595256489,13876.81917653,14643.4892877063,15359.4611530571,16170.990493278,16761.1925261726,16457.7872245882,18212.8702466686,19388.8731331744,20481.0358398226,21641.0733223921,..
Albania,ALB,"Population, total",SP.POP.TOTL,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2414095,2377128,..
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2.3632,2.2228,2.3443,2.0702,2.0552,1.5806,1.9149,3.0869,3.2329,3.4396,4.0067,4.2116,4.4144,4.1489,4.1351,4.246,4.195,4.2836,4.567,5.0007,4.5385,4.7703,5.1022,4.8756,4.5382,5.3613,5.3341,4.984,4.5676,5.1122,4.5239,4.2226,4.2437,..
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.727801544730445,0.688751883548008,0.730872545156157,0.649416648053946,0.648730616126789,0.502051754592427,0.612076598274589,0.992962508098037,1.04657550743325,1.12398874181296,1.31323725585954,1.38556975617973,1.45837098137756,1.3776914859669,1.3817995172674,1.42962144661125,1.42332985219763,1.46321851369709,1.56778821711206,1.72129581663193,1.58649537107597,1.69345614437421,1.83944794209463,1.78508860089342,1.68739628528903,2.0244422333699,2.04549315439886,1.94096037816015,1.80646079858255,2.0532886275877,1.84525761573088,1.74914408919284,1.7852214941728,..
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,11241.4154173757,10743.7063534104,10414.0348241407,10588.4433695754,10808.8788666941,10725.9673493368,11094.8875368585,11292.0372997165,11558.220469383,11742.5946761225,12213.1263531246,12835.1814413331,13226.7650481165,13738.495644436,13920.6940553701,14114.6745192683,14206.7767147039,14104.42817214,14496.4211312996,14641.9640935685,14697.5396133853,14778.1914257233,15073.7629403565,15239.5171456469,15511.6858768094,15427.6641894713,15343.4261222434,15199.1989965639,14194.1557479619,14496.8654697299,14782.2002970247,15159.3242373415,15501.9197003966,..
Algeria,DZA,"Population, total",SP.POP.TOTL,26628568,27277048,27887279,28470191,29033044,29579301,30054133,30474354,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308,..
Algeria,DZA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,84.7835,82.975,81.1548,83.819,81.5084,79.6229,81.4406,84.9551,87.9391,85.8235,89.6877,96.5063,96.626,101.4002,105.5039,108.9161,113.7088,116.0891,118.6168,124.8035,140.2699,145.7286,155.033,164.5785,160.7458,166.3203,174.8053,181.6864,171.9505,181.3215,189.1886,190.5786,186.3584,..
Algeria,DZA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.18393013097813,3.0419347430851,2.91010105360225,2.94409686257461,2.8074355551557,2.6918452197366,2.70979701859974,2.78775720725696,2.84556706172908,2.73923253741053,2.82473516050838,2.9993425497372,2.96141820014695,3.06259438261496,3.13780186991803,3.18566716670446,3.26590250079552,3.27099589762822,3.27777236779378,3.38189926038203,3.72600758334859,3.79361564251901,3.95441595238121,4.11245469680565,3.93495625205734,3.98952018838216,4.1125786627396,4.19651934911155,3.90423106841135,4.05087238809753,4.16005852930563,4.12827519079225,3.98080005796518,..
American Samoa,ASM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,49038,50159,51251,52316,53353,54362,55334,56248,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765,..
American Samoa,ASM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,..
